index,date,benchmark,params,exp,timeout,compile_time,cycles,alpha,beta,cost,killed,memory_used
144,Aug31-1025,2d-conv,16x16_4x4,240,180,388.5712296962738,5619,15.0,0.0,7039362.119999995,False,53.641572352
145,Aug31-1025,2d-conv,16x16_4x4,416,180,268.08518385887146,2422,15.0,2020.0,1361795.5469999982,False,31.860744192
146,Aug31-1025,2d-conv,16x16_4x4,249,180,641.4951920509338,7035,-5.0,1.0,4073.38,False,2.244726784
147,Aug31-1025,2d-conv,16x16_4x4,420,180,40.59494638442993,7033,-4040.0,2025.0,3983.3539999999994,False,0.116588544
148,Aug31-1025,2d-conv,16x16_4x4,276,180,386.40442633628845,6862,4035.0,2.0,7039362.119999995,False,53.615960064
149,Aug31-1025,2d-conv,16x16_4x4,282,180,904.0539615154266,,-1.0,3.0,4011.328,False,9.263669248
150,Aug31-1025,2d-conv,16x16_4x4,418,180,253.09167528152466,2422,4040.0,2020.0,1361795.5469999982,False,31.860559872
151,Aug31-1025,2d-conv,16x16_4x4,285,180,382.1415047645569,7528,1.0,3.0,7039362.119999995,False,53.610754048
152,Aug31-1025,2d-conv,16x16_4x4,271,180,386.47449207305914,6862,10.0,2.0,7039362.119999995,False,53.60447488
153,Aug31-1025,2d-conv,16x16_4x4,427,180,5.5639448165893555,5836,-0.5,2025.0,6129970.151,False,0.272007168
154,Aug31-1025,2d-conv,16x16_4x4,231,180,70.91277003288269,7159,-15.0,0.0,4021.3410000000003,False,0.152686592
155,Aug31-1025,2d-conv,16x16_4x4,236,180,300.72484946250916,5973,0.5,0.0,7039368.398999994,False,53.516886016
156,Aug31-1025,2d-conv,16x16_4x4,238,180,387.82580423355097,5619,5.0,0.0,7039362.119999995,False,53.60848896
157,Aug31-1025,2d-conv,16x16_4x4,405,180,248.2601275444031,2348,4045.0,30.0,1361795.5469999982,False,31.713968128
158,Aug31-1025,2d-conv,16x16_4x4,253,180,390.7570810317993,5619,1.0,1.0,7039362.119999995,False,53.603336192
159,Aug31-1025,2d-conv,16x16_4x4,298,180,904.1878476142883,,-1.0,4.0,4011.328,False,9.176805376
160,Aug31-1025,2d-conv,16x16_4x4,254,180,389.78742241859436,5619,5.0,1.0,7039362.119999995,False,53.605920768
161,Aug31-1025,2d-conv,16x16_4x4,402,180,248.16217923164365,2348,4040.0,30.0,1361795.5469999982,False,31.71411968
162,Aug31-1025,2d-conv,16x16_4x4,434,180,490.94957995414734,7265,4040.0,2025.0,6129146.953000001,False,21.063368704
163,Aug31-1025,2d-conv,16x16_4x4,262,180,70.91586089134216,7159,-4035.0,2.0,4021.3410000000003,False,0.152600576
164,Aug31-1025,2d-conv,16x16_4x4,296,180,645.2128131389618,6959,-5.0,4.0,4073.38,False,2.244808704
165,Aug31-1025,2d-conv,16x16_4x4,291,180,45.73729681968689,7033,-4045.0,4.0,3983.3539999999994,False,0.163422208
166,Aug31-1025,2d-conv,16x16_4x4,265,180,640.4579448699951,6959,-5.0,2.0,4073.38,False,2.244882432
167,Aug31-1025,2d-conv,16x16_4x4,433,180,252.9839437007904,2302,4035.0,2025.0,1361795.5469999982,False,31.798878208
168,Aug31-1025,2d-conv,16x16_4x4,239,180,387.2132048606872,5619,10.0,0.0,7039362.119999995,False,53.60508928
169,Aug31-1025,2d-conv,16x16_4x4,237,180,386.7669243812561,5619,1.0,0.0,7039362.119999995,False,53.6036352
170,Aug31-1025,2d-conv,16x16_4x4,230,180,70.91304183006287,7159,-4035.0,0.0,4021.3410000000003,False,0.152727552
171,Aug31-1025,2d-conv,16x16_4x4,264,180,644.9168581962585,7216,-10.0,2.0,3986.623999999999,False,2.262970368
172,Aug31-1025,2d-conv,16x16_4x4,432,180,253.03074359893802,2302,15.0,2025.0,1361795.5469999982,False,31.799271424
173,Aug31-1025,2d-conv,16x16_4x4,290,180,903.9163331985474,,4040.0,3.0,6072.758999999999,False,9.01453824
174,Aug31-1025,2d-conv,16x16_4x4,297,180,665.2981700897217,7216,-10.0,4.0,3986.623999999999,False,2.262839296
175,Aug31-1025,2d-conv,16x16_4x4,435,180,495.9523673057556,7265,4045.0,2025.0,6129146.953000001,False,21.06345472
176,Aug31-1025,2d-conv,16x16_4x4,263,180,75.9109616279602,7159,-15.0,2.0,4021.3410000000003,False,0.274956288
177,Aug31-1025,2d-conv,16x16_4x4,255,180,399.82975149154663,5619,10.0,1.0,7039362.119999995,False,53.606498304
178,Aug31-1025,2d-conv,16x16_4x4,403,180,45.634732246398926,7033,-4045.0,2020.0,3983.3539999999994,False,0.311320576
179,Aug31-1025,2d-conv,16x16_4x4,404,180,40.6344165802002,7033,-4040.0,2020.0,3983.3539999999994,False,0.116662272
180,Aug31-1025,2d-conv,16x16_4x4,252,180,294.17384123802185,5973,0.5,1.0,7039368.398999994,False,53.51817216
181,Aug31-1025,2d-conv,16x16_4x4,299,180,904.1876726150512,,-0.5,4.0,4011.328,False,9.19187456
182,Aug31-1025,2d-conv,16x16_4x4,320,180,380.782368183136,7528,15.0,5.0,7039362.119999995,False,53.617897472
183,Aug31-1025,2d-conv,16x16_4x4,318,180,380.82866883277893,7528,5.0,5.0,7039362.119999995,False,53.615591424
184,Aug31-1025,2d-conv,16x16_4x4,327,180,547.9685888290405,7157,4045.0,5.0,4019.7589999999987,False,24.507580416
185,Aug31-1025,2d-conv,16x16_4x4,311,180,71.38245463371277,7159,-15.0,5.0,4021.3410000000003,False,0.152449024
186,Aug31-1025,2d-conv,16x16_4x4,329,180,5.014140844345093,7387,-5.0,6.0,6142096.345,False,0.189239296
187,Aug31-1025,2d-conv,16x16_4x4,316,180,385.28445625305176,7528,1.0,5.0,7039362.119999995,False,53.616324608
188,Aug31-1025,2d-conv,16x16_4x4,342,180,71.31456518173218,7159,-4035.0,10.0,4021.3410000000003,False,0.326254592
189,Aug31-1025,2d-conv,16x16_4x4,389,180,247.805547952652,2342,4045.0,20.0,1361795.5469999982,False,31.712268288
190,Aug31-1025,2d-conv,16x16_4x4,345,180,70.76498460769653,7159,-15.0,10.0,4021.3410000000003,False,0.325992448
191,Aug31-1025,2d-conv,16x16_4x4,373,180,249.39074993133545,2252,4045.0,15.0,1361795.5469999982,False,31.71129344
192,Aug31-1025,2d-conv,16x16_4x4,387,180,45.75096130371094,7033,-4045.0,30.0,3983.3539999999994,False,0.315826176
193,Aug31-1025,2d-conv,16x16_4x4,380,180,243.29720330238342,2342,1.0,20.0,1361795.5469999982,False,31.710806016
194,Aug31-1025,2d-conv,16x16_4x4,374,180,70.70094537734985,7159,-4035.0,20.0,4021.3410000000003,False,0.3274752
195,Aug31-1025,2d-conv,16x16_4x4,328,180,5.014399528503418,7387,-10.0,6.0,6142096.345,False,0.207773696
196,Aug31-1025,2d-conv,16x16_4x4,317,180,654.0442383289337,7215,0.5,5.0,5856993.668000002,False,37.391970304
197,Aug31-1025,2d-conv,16x16_4x4,310,180,654.8488993644714,6898,4045.0,4.0,4019.7589999999987,False,24.474652672
198,Aug31-1025,2d-conv,16x16_4x4,319,180,385.2767822742462,7528,10.0,5.0,7039362.119999995,False,53.618712576
199,Aug31-1025,2d-conv,16x16_4x4,326,180,71.34629130363464,7159,-15.0,6.0,4021.3410000000003,False,0.152428544
200,Aug31-1025,2d-conv,16x16_4x4,321,180,380.75868582725525,7528,4035.0,5.0,7039362.119999995,False,53.617979392
201,Aug31-1025,2d-conv,16x16_4x4,375,180,5.009523630142213,7387,-10.0,20.0,6142096.345,False,0.183836672
202,Aug31-1025,2d-conv,16x16_4x4,381,180,379.6865417957306,2686,0.5,20.0,1362404.5469999984,False,11.238326272
203,Aug31-1025,2d-conv,16x16_4x4,386,180,248.29470920562744,2342,4040.0,20.0,1361795.5469999982,False,31.712382976
204,Aug31-1025,2d-conv,16x16_4x4,372,180,45.64554166793824,7033,-4040.0,20.0,3983.3539999999994,False,0.326946816
205,Aug31-1025,2d-conv,16x16_4x4,344,180,5.012582302093506,7387,-5.0,10.0,6142096.345,False,0.196354048
206,Aug31-1025,2d-conv,16x16_4x4,343,180,5.01246976852417,7387,-10.0,10.0,6142096.345,False,0.196325376
207,Aug31-1025,2d-conv,16x16_4x4,388,180,45.620383739471436,7033,-4040.0,30.0,3983.3539999999994,False,0.315502592
